name,handle,ORCID,fediverse
Daniel Nüst,@nuest,0000-0002-0024-5046,@nuest@mstdn.social
Frank Ostermann,@foost,0000-0002-9317-8291,@f_ostermann@mstdn.social
Carlos Granell,@cgranell,0000-0003-1004-9695,
Egor Kotov,@e-kotov,0000-0001-6690-5345,@EgorKotov@datasci.social
Alexander Kmoch,@allixender,0000-0003-4386-4450,@allixender@fosstodon.org
Anita Graser,@anitagraser,0000-0001-5361-2885,@underdarkGIS@fosstodon.org
Barbara Hofer,@hoferb,0000-0001-7078-3766,
Eftychia Koukouraki,@EftyK,0000-0003-0928-1139,@eftyk@mastodon.social
Eleni Tomai,NA,0000-0003-1162-7389,
Franz Welscher,@Holz1GST,0000-0003-2432-1880,
Ilya Ilyankou,@ilyankou,0009-0008-7082-7122,
Jakub Krukar,@kubakrukar,0000-0003-2615-8757,
Jeonghwan Choi,NA,0009-0002-5027-1151,
Joseph Shingleton,@jshng-glasgow,0000-0002-1628-3231,
Lorena Abad,@loreabad6,0000-0003-0554-734X,@loreabad6@fosstodon.org
Luke McQuade,@lukesdm,0009-0004-5292-6793,
Mehtab Alam Syed,@mehtab-alam,0000-0003-3696-0030,
Nina Wiedemann,@NinaWie,0000-0002-8160-7634,
Philipp A. Friese,@philippfriese,0000-0002-3124-5364,
Rémy Decoupes,@remydecoupes,0000-0003-0863-9581,
Sophie Teichmann,NA,0000-0002-4314-8107,
