name,handle,ORCID,institution
Alex Dewar,@alexdewar,NA,Imperial College London
Sam Langton,@langtonhugh,0000-0002-1322-1553,Amsterdam UMC
Yasel Quintero,@yiquintero,0009-0005-9240-7370,TU Delft
Joao Guimaraes,@joaoxg,0000-0002-6545-3102,TU Delft
Heather Andrews,@HeatherAn,0000-0002-6637-2830,TU Delft
Aysun Urhan,@aysunrhn,0000-0001-8584-4736,TU Delft
Elviss Dvinskis,@edvinskis,0000-0003-2873-0139,TU Delft
Josip Grguric,@jgrguric96,0009-0003-3725-9454,TU Delft
Leila Iñigo de la Cruz,@leilaicruz,0000-0003-0852-9219,TU Delft
Niket Agrawal,@niketagrawal,0000-0002-3208-3440,TU Delft
